"id","profileName","text","date","title","rating","images","helpful","Style"
"RKE0LBAIEPKU1","Rose Dawson","
  We now have three of these devices in our home to help save on our cable bill. We use them for the spectrum app and they work great! Very easy to set up. A word to the wise - I read a couple of reviews about an activation fee. I set two of these up today and there is no activation fee!! If you are being asked to pay a fee you are in the wrong place!  Do not google the set up website - type in the address as it is when prompted on the screen and you will be fine.
","Reviewed in the United States on November 1, 2019","Do not pay an activation fee!",5,"","2313","Roku Express HD"
"R2H3M7SD61C6JC","Mike T","
  I finally decided to buy one to help keep my TV relevant. Most of the apps from my 2011 model TV don't work anymore and was limited in functionality. I wish I bought one of these years ago though. Now, reading through previous comments, there is someone who gave 2 stars and complained about being single banded WiFi. This guy doesn't pay attention to what hes looking at. Yes, this is clearly stated that it only uses 2.4GHz band. No, they didn't go backwards in any form with this. With a quick search, and all Roku Expresses, which is what this is, have been single band. And 2.4GHz is fine when only going 1080p for HD.Now about using it. Setting everything up doesn't take long, around 10-15 minutes. Once you have it set up, it's eay to use to get on Netflix, or Amazon Prime to watch your favorite shows. You can also download some other apps to get some free TV to you flip through another couple hundred channels and complain about there is nothing to watch, because we all know we do that. When watching something, the picture does take a minute to download, buffer, and catch up, so the first little bit may be a bit blurry, but it evens out. There is also the Roku app for your phone, and this adds some ease of use. Instead of using the remote to attempt to hit the sensor on the device, you can connect to the Roku on your phone as long as they are on the same WiFi network.If you want to stream easier on your TV, or your TV doesn't have the Smart features you want, I would recommend this. If you want 4K video, then you need to look at something else because this doesn't off it. Also, if you really need to use 5GHz WiFi, then also, look elsewhere. Now, I can't compare this to other models, but this works well for what I wanted it for. Would recommend.
","Reviewed in the United States on October 16, 2019","Should have got one years ago",5,"","858","Roku Express HD"
"R1EQKXQUPQUQBW","mike","
  I had to return it today though I only had it for 1 day or so. Reason: There's activation fee of $100, which was not specified on the webpage when I made the purchase. Based on the description on the webpage, I was under the impression that I just have to pay for the device & get all the free channels I want. It described that I only have to pay for the channels that were not free. However, when I finally got a chance to install the device on my TV & tried to activate it using the code on the TV screen, it told me that it failed. I called the support phone# & was told by someone with heavy accent who rudely rambled on & on about all kinds of benefits of activating the device WITHOUT giving me a chance to talk. After he was done advertising for his company's product, he finally said it would cost me $100 to create an account in order to activate it. He told me also before I hung up the phone that if I decide to pay to create an account, I'd have to call Monday (it was Saturday when I called). This might have been a good product, but the company should've made buyers aware upfront of the activation fee. In all, I was totally disappointed.
","Reviewed in the United States on October 26, 2019","Beware of Activation Fee",1,"","733","Roku Express HD"
"R2V4R1YL567TCL","DavyMac","
  Overall, was I eventually moderately satisfied. The initial setup was a breeze. However, I got a rude shock when the video from a lot of channels wouldn't stream - instead of video, I got only sound and error code 020. (Of note, I was trying to run our Roku through an HDMI signal switch.)As it turns out, a lot of HDMI signal switches/splitters sold on Amazon are NOT HDCP compatible. (HDCP is a form of digital copy protection; I only learned about this when trying to troubleshoot this Roku). A lot of channels available on the Roku use HDCP. So, as a result, content from those channels could not be streamed from the Roku to our TV through our HDMI switch/splitter. It took some Googling to figure this out - the Roku support article regarding HDCP error messages mostly discussed unplugging and replugging things, and turning things on and off again. It did not mention HDMI signal switch/splitter incompatibility. I would have been up and running more quickly, and ultimately more satisfied, if that had been the case.After figuring this out, I plugged the Roku directly into the TV, and it worked perfectly. Unfortunately, I had to rearrange all of our other HDMI inputs in order to do this.If you are reliant on HDMI switches/splitters, figure out if your switch is HDCP compatible before getting this incarnation of Roku.Also, it is advertised that the Roku mobile app has a keyboard function - on my iOS, the the mobile remote control functions that I've tried work, with the exception of the mobile keyboard. Hopefully a Google search will yield a fix, but I would be even more satisfied if this keyboard feature worked right out of the box.EDIT:The remote control stopped working after a month. It's a good thing there is a mobile Roku app. Otherwise, we'd have to order a new remote.
","Reviewed in the United States on October 16, 2019","HDMI switch/splitter users BEWARE!",4,"","557","Roku Express HD"
"R15JQ1U24UCLQ1","Dee Arr","
  I bought this Roku to expand into a fourth room, and I was happy to see that it was offered at a fraction of the cost of my other Roku models. Of course, this bare-boned unit asks for you to sacrifice some of the options on the more expensive units, such as a TV on/off button, volume control, and an earphone plug-in on the remote. All of these minor issues are easily solved by using both the Roku and the TV remotes or by employing the free Roku mobile app for iOS or Android.A major issue for some consumers might be the 2.4 GHz wireless connection. After several days of use, we have seen no issues. Streaming has been perfect, no lagging or interruptions, and load time seems no longer than any of the other Roku units we own.Installation was easy and there should be no hiccups for the majority of users. This was the first time that Roku asked me to sign up with a Google account, so it took the extra few minutes for me to set that up, but otherwise it was no harder than usual.If you are looking for a solid unit and a great price, you can't do better than this unit. Five stars.
","Reviewed in the United States on October 19, 2019","Bare-Boned Unit Works Great!",5,"","348","Roku Express HD"
"R1CV14AAKKKK13","Rachel in Florida","
  I have been working on overtime, a 2nd job and my damn nerves,  to do what??? Spend all my money on cable and diet water??? Not anymore!!! I decided to invest in a Roku to alleviate half of my stress! I had no idea the number of free channels at my disposal. And they are full of shows that I will actually watch and like!!! I am actually glad to come home to my spinster life of watching tv with my pets and practicing Spam Sculpture Art. I have watched classic tv shows and new and fresh ones now. Grab one while the prices are low!!
","Reviewed in the United States on October 28, 2019","My Neck, My Back, My NETFLIX and my SNACKS!!!",5,"","339","Roku Express HD"
"R36H25BX2W1Y11","Rokair","
  Why have they gone backwards from a few years ago and are producing new devices (this is not the first so be  careful) that support only the oldest 2.4 ghz wireless band.  They talk about high speed streaming needing a strong wifi network and internet connection but limit you to the slowest option on your modern router.  My Roku 2 second gen devices from 4 years ago do only support wireless N but they do so on both the 2.4 and 5.0 wireless bands.  This makes a big speed difference on any network but if you happen to live in a populated area it makes a HUGE difference.
","Reviewed in the United States on October 11, 2019","Notice (Single Band Wireless)",2,"","277","Roku Express HD"
"RLQ8F4VAA87HR","KJinthe417","
  This is my 5th Roku and it works just as good as the rest.  Don't be scared off by the 2.4 GHz wireless connection, I'm watching YouTube TV at full 1080p with plenty of speed left over.  Unless your network has a history of problems with 2.4 GHz connections, or you require 4K UHD quality, this is a great device that can be powered by your TV's USB port.
","Reviewed in the United States on October 15, 2019","FANTASTIC device for the price!",5,"","203","Roku Express HD"
"R1R8624GX9S0ET","robert mullins","
  I just bought this product and when I attempted to activate it it came up as an error and informed me to call an 866 number from a company named IDA to activate my Roku. I was informed that there was a one time activation fee of $69.99.  I informed him that nothing on Amazon stated that there are activation fees and I refused to pay it.  This 866 number popped up on my screen during the activation process appearing to be legit. He told me this was an independent company working for Roku. I said BS and hung up. I then contacted Roku's website directly and activated without any further problems.  Please be careful and do not fall for their nonsense. It even states on Roku's screen that they will never charge for activation or updates.  Amazon should look into this since it will create a lot of ill will towards Amazon. If the 866 number comes up during activation do not call. Go to Roku's website and enter code and it will be activated at no charge.
","Reviewed in the United States on January 9, 2020","Be very careful!",1,"","128","Roku Express HD"
"R1226UPBK6X99Q","Reader","
  Installing this new 2019 version of the Roku streaming ""box,"" it messed up my TV, my cable and my head.  There was no telephone or online support for the problems I was contending with, only a disembodied voice when I called that said there were videos available online.  I looked at them but they did not help.  Fortunately, my friendly local cable company came to the rescue and explained how the system could work, making it a very pesky operation.Had I known there was no support, I would not have purchased this item and will probably look for a product from a different manufacturer given my feelings about Roku.
","Reviewed in the United States on October 14, 2019","No customer support",1,"","88","Roku Express HD"
